 ******************************************
        Entropy-based Gully erosion        
              model - V 0.2                
                                           
        TUB - Institut fur Okologie        
          UFC - PPGEA - Hidrosed           
                                           
            Pedro Alencar, 2020            
                                           
 ******************************************
  
The number of Manning of the channel is....        0.0400
The declivity of the hillslope is..........        0.0930
The critical shear stress is...............        3.5000
The rill erodibility coefficient is........        0.0210
The soil Bulk density is...................     1700.0000
The porosity of the soil is................        0.3410
The depth of the nonerodible layer is......        0.7460
The soil cohesion is.......................      600.0000
The internal friction angle is.............       24.0000
The threshold for wall erosion is..........        0.0000
The number of rainfall events is...........           947
  
  event   discharge(m3)    depth (m)    width (m)     area (m2)    lambda_wall    lambda_bed
   274        0.0084        0.7460        0.9783        0.7298      -98.9795      -98.9795
   275        0.0010        0.7460        0.9783        0.7298      -98.9795      -98.9795
   276        0.0017        0.7460        0.9783        0.7298      -98.9795      -98.9795
   277        0.0074        0.7460        0.9799        0.7310      -98.9795      -98.9795
   278        0.0046        0.7460        0.9804        0.7314      -98.9795      -98.9795
   279        0.0098        0.7460        0.9833        0.7336      -98.9795      -98.9795
   280        0.0043        0.7460        0.9836        0.7338      -98.9795      -98.9795
   281        0.0009        0.7460        0.9836        0.7338      -98.9795      -98.9795
   282        0.0006        0.7460        0.9836        0.7338      -98.9795      -98.9795
   283        0.0011        0.7460        0.9836        0.7338      -98.9795      -98.9795
   284        0.0028        0.7460        0.9836        0.7338      -98.9795      -98.9795
   285        0.0084        0.7460        0.9858        0.7354      -98.9795      -98.9795
   286        0.0021        0.7460        0.9858        0.7354      -98.9795      -98.9795
   287        0.0192        0.7460        0.9954        0.7425      -98.9795      -98.9795
   288        0.0099        0.7460        0.9983        0.7447      -98.9795      -98.9795
   289        0.0002        0.7460        0.9983        0.7447      -98.9795      -98.9795
   290        0.0007        0.7460        0.9983        0.7447      -98.9795      -98.9795
   291        0.0001        0.7460        0.9983        0.7447      -98.9795      -98.9795
   292        0.0001        0.7460        0.9983        0.7447      -98.9795      -98.9795
   293        0.0331        0.7460        1.0202        0.7611      -98.9795      -98.9795
   294        0.0044        0.7460        1.0205        0.7613      -98.9795      -98.9795
   295        0.0002        0.7460        1.0205        0.7613      -98.9795      -98.9795
   296        0.0061        0.7460        1.0213        0.7619      -98.9795      -98.9795
   297        0.0077        0.7460        1.0229        0.7631      -98.9795      -98.9795
   298        0.0001        0.7460        1.0229        0.7631      -98.9795      -98.9795
   299        0.0001        0.7460        1.0229        0.7631      -98.9795      -98.9795
   300        0.0068        0.7460        1.0241        0.7640      -98.9795      -98.9795
   301        0.0028        0.7460        1.0241        0.7640      -98.9795      -98.9795
   302        0.0008        0.7460        1.0241        0.7640      -98.9795      -98.9795
   303        0.0021        0.7460        1.0241        0.7640      -98.9795      -98.9795
   304        0.0001        0.7460        1.0241        0.7640      -98.9795      -98.9795
   305        0.0003        0.7460        1.0241        0.7640      -98.9795      -98.9795
   306        0.0138        0.7460        1.0291        0.7677      -98.9795      -98.9795
   307        0.0045        0.7460        1.0294        0.7680      -98.9795      -98.9795
   308        0.0023        0.7460        1.0294        0.7680      -98.9795      -98.9795
   309        0.0115        0.7460        1.0330        0.7706      -98.9795      -98.9795
   310        0.0028        0.7460        1.0330        0.7706      -98.9795      -98.9795
   311        0.0059        0.7460        1.0338        0.7712      -98.9795      -98.9795
   312        0.0008        0.7460        1.0338        0.7712      -98.9795      -98.9795
   313        0.0004        0.7460        1.0338        0.7712      -98.9795      -98.9795
   314        0.0037        0.7460        1.0338        0.7712      -98.9795      -98.9795
   315        0.0035        0.7460        1.0338        0.7712      -98.9795      -98.9795
   316        0.0041        0.7460        1.0339        0.7713      -98.9795      -98.9795
   317        0.0033        0.7460        1.0339        0.7713      -98.9795      -98.9795
   318        0.0012        0.7460        1.0339        0.7713      -98.9795      -98.9795
