 ******************************************
        Entropy-based Gully erosion        
              model - V 0.2                
                                           
        TUB - Institut fur Okologie        
          UFC - PPGEA - Hidrosed           
                                           
            Pedro Alencar, 2020            
                                           
 ******************************************
  
The number of Manning of the channel is....        0.0400
The declivity of the hillslope is..........        0.0450
The critical shear stress is...............        3.5000
The rill erodibility coefficient is........        0.0210
The soil Bulk density is...................     1700.0000
The porosity of the soil is................        0.3580
The depth of the nonerodible layer is......        0.1980
The soil cohesion is.......................      600.0000
The internal friction angle is.............       24.0000
The threshold for wall erosion is..........        0.0000
The number of rainfall events is...........           914
  
  event   discharge(m3)    depth (m)    width (m)     area (m2)    lambda_wall    lambda_bed
   270        0.0004        0.1980        0.8350        0.1653      -98.9795      -98.9795
   271        0.0003        0.1980        0.8350        0.1653      -98.9795      -98.9795
   272        0.0006        0.1980        0.8350        0.1653      -98.9795      -98.9795
   273        0.0014        0.1980        0.8350        0.1653      -98.9795      -98.9795
   274        0.0042        0.1980        0.8350        0.1653      -98.9795      -98.9795
   275        0.0011        0.1980        0.8350        0.1653      -98.9795      -98.9795
   276        0.0096        0.1980        0.8438        0.1671      -98.9795      -98.9795
   277        0.0049        0.1980        0.8442        0.1672      -98.9795      -98.9795
   278        0.0001        0.1980        0.8442        0.1672      -98.9795      -98.9795
   279        0.0003        0.1980        0.8442        0.1672      -98.9795      -98.9795
   280        0.0166        0.1980        0.8697        0.1722      -98.9795      -98.9795
   281        0.0022        0.1980        0.8697        0.1722      -98.9795      -98.9795
   282        0.0001        0.1980        0.8697        0.1722      -98.9795      -98.9795
   283        0.0031        0.1980        0.8697        0.1722      -98.9795      -98.9795
   284        0.0039        0.1980        0.8697        0.1722      -98.9795      -98.9795
   285        0.0001        0.1980        0.8697        0.1722      -98.9795      -98.9795
   286        0.0034        0.1980        0.8697        0.1722      -98.9795      -98.9795
   287        0.0014        0.1980        0.8697        0.1722      -98.9795      -98.9795
   288        0.0004        0.1980        0.8697        0.1722      -98.9795      -98.9795
   289        0.0010        0.1980        0.8697        0.1722      -98.9795      -98.9795
   290        0.0001        0.1980        0.8697        0.1722      -98.9795      -98.9795
   291        0.0002        0.1980        0.8697        0.1722      -98.9795      -98.9795
   292        0.0069        0.1980        0.8727        0.1728      -98.9795      -98.9795
   293        0.0022        0.1980        0.8727        0.1728      -98.9795      -98.9795
   294        0.0012        0.1980        0.8727        0.1728      -98.9795      -98.9795
   295        0.0058        0.1980        0.8740        0.1730      -98.9795      -98.9795
   296        0.0014        0.1980        0.8740        0.1730      -98.9795      -98.9795
   297        0.0029        0.1980        0.8740        0.1730      -98.9795      -98.9795
   298        0.0004        0.1980        0.8740        0.1730      -98.9795      -98.9795
   299        0.0002        0.1980        0.8740        0.1730      -98.9795      -98.9795
   300        0.0019        0.1980        0.8740        0.1730      -98.9795      -98.9795
   301        0.0017        0.1980        0.8740        0.1730      -98.9795      -98.9795
   302        0.0020        0.1980        0.8740        0.1730      -98.9795      -98.9795
   303        0.0016        0.1980        0.8740        0.1730      -98.9795      -98.9795
   304        0.0006        0.1980        0.8740        0.1730      -98.9795      -98.9795
   305        0.0002        0.1980        0.8740        0.1730      -98.9795      -98.9795
   306        0.0034        0.1980        0.8740        0.1730      -98.9795      -98.9795
   307        0.0051        0.1980        0.8744        0.1731      -98.9795      -98.9795
   308        0.0008        0.1980        0.8744        0.1731      -98.9795      -98.9795
   309        0.0002        0.1980        0.8744        0.1731      -98.9795      -98.9795
   310        0.0001        0.1980        0.8744        0.1731      -98.9795      -98.9795
   311        0.0004        0.1980        0.8744        0.1731      -98.9795      -98.9795
   312        0.0031        0.1980        0.8744        0.1731      -98.9795      -98.9795
   313        0.0005        0.1980        0.8744        0.1731      -98.9795      -98.9795
   314        0.0010        0.1980        0.8744        0.1731      -98.9795      -98.9795
   315        0.0004        0.1980        0.8744        0.1731      -98.9795      -98.9795
   316        0.0003        0.1980        0.8744        0.1731      -98.9795      -98.9795
   317        0.0020        0.1980        0.8744        0.1731      -98.9795      -98.9795
   318        0.0029        0.1980        0.8744        0.1731      -98.9795      -98.9795
   319        0.0006        0.1980        0.8744        0.1731      -98.9795      -98.9795
   320        0.0002        0.1980        0.8744        0.1731      -98.9795      -98.9795
   321        0.0079        0.1980        0.8789        0.1740      -98.9795      -98.9795
   322        0.0004        0.1980        0.8789        0.1740      -98.9795      -98.9795
   323        0.0004        0.1980        0.8789        0.1740      -98.9795      -98.9795
   324        0.0007        0.1980        0.8789        0.1740      -98.9795      -98.9795
   325        0.0007        0.1980        0.8789        0.1740      -98.9795      -98.9795
   326        0.0001        0.1980        0.8789        0.1740      -98.9795      -98.9795
   327        0.0021        0.1980        0.8789        0.1740      -98.9795      -98.9795
   328        0.0058        0.1980        0.8802        0.1743      -98.9795      -98.9795
   329        0.0054        0.1980        0.8809        0.1744      -98.9795      -98.9795
   330        0.0021        0.1980        0.8809        0.1744      -98.9795      -98.9795
   331        0.0068        0.1980        0.8835        0.1749      -98.9795      -98.9795
   332        0.0033        0.1980        0.8835        0.1749      -98.9795      -98.9795
   333        0.0067        0.1980        0.8860        0.1754      -98.9795      -98.9795
   334        0.0025        0.1980        0.8860        0.1754      -98.9795      -98.9795
   335        0.0013        0.1980        0.8860        0.1754      -98.9795      -98.9795
   336        0.0011        0.1980        0.8860        0.1754      -98.9795      -98.9795
   337        0.0036        0.1980        0.8860        0.1754      -98.9795      -98.9795
   338        0.0038        0.1980        0.8860        0.1754      -98.9795      -98.9795
   339        0.0008        0.1980        0.8860        0.1754      -98.9795      -98.9795
   340        0.0064        0.1980        0.8880        0.1758      -98.9795      -98.9795
   341        0.0035        0.1980        0.8880        0.1758      -98.9795      -98.9795
   342        0.0006        0.1980        0.8880        0.1758      -98.9795      -98.9795
   343        0.0012        0.1980        0.8880        0.1758      -98.9795      -98.9795
   344        0.0001        0.1980        0.8880        0.1758      -98.9795      -98.9795
   345        0.0003        0.1980        0.8880        0.1758      -98.9795      -98.9795
   346        0.0009        0.1980        0.8880        0.1758      -98.9795      -98.9795
   347        0.0012        0.1980        0.8880        0.1758      -98.9795      -98.9795
   348        0.0023        0.1980        0.8880        0.1758      -98.9795      -98.9795
